PRDCODEXT,PROMDEFFECDES_df1,PROMDEFFECHAS_df1,Status Hoy_df2,Prov_df2,Cat _df2,Tipo Prov_df2,LOCCOD_df3,MOVFEC_df3,ACPRCANTVEND_df3,ACPRIMPVEN_df3
560226,13/02/2023,26/02/2023,1.0,10214.0,216.0,1.0,5201.0,17/8/2021,2.0,978
560227,13/02/2023,26/02/2023,1.0,10214.0,216.0,1.0,5201.0,12/8/2021,2.0,978
561875,13/02/2023,26/02/2023,5.0,18204.0,216.0,1.0,5201.0,6/5/2021,3.0,972
561895,13/02/2023,26/02/2023,5.0,18204.0,216.0,1.0,5201.0,6/5/2021,1.0,324
561899,13/02/2023,26/02/2023,1.0,18204.0,216.0,1.0,5201.0,6/5/2021,2.0,508
600936,17/05/2021,30/05/2021,1.0,10214.0,216.0,1.0,5201.0,8/5/2021,1.0,335
607016,17/05/2021,30/05/2021,5.0,10214.0,216.0,1.0,,,,
607064,17/05/2021,30/05/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,2.0,670
607065,17/05/2021,30/05/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,335
607066,17/05/2021,30/05/2021,1.0,10214.0,216.0,1.0,5201.0,9/5/2021,1.0,335
560100,01/11/2021,31/01/2022,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,195
560101,01/11/2021,31/01/2022,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,3.0,585
560102,01/11/2021,31/01/2022,1.0,10214.0,216.0,1.0,5201.0,4/5/2021,1.0,195
560103,01/11/2021,31/01/2022,1.0,10214.0,216.0,1.0,5201.0,7/5/2021,3.0,585
560104,01/11/2021,31/01/2022,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,2.0,390
560258,01/11/2021,31/01/2022,5.0,62831.0,216.0,1.0,5201.0,4/5/2021,1.0,209
560262,01/11/2021,31/01/2022,5.0,62831.0,216.0,1.0,5201.0,3/5/2021,1.0,209
560268,01/11/2021,31/01/2022,1.0,62831.0,216.0,1.0,5201.0,2/5/2021,4.0,556
560273,01/11/2021,31/01/2022,1.0,62831.0,216.0,1.0,5201.0,2/5/2021,2.0,378
560295,01/11/2021,31/01/2022,5.0,62831.0,216.0,1.0,5201.0,2/5/2021,2.0,278
560519,01/11/2021,31/01/2022,1.0,64707.0,216.0,1.0,5201.0,23/8/2021,2.0,2240
560592,01/11/2021,31/01/2022,1.0,64156.0,216.0,1.0,5201.0,2/5/2021,1.0,259
560601,01/11/2021,31/01/2022,1.0,64156.0,216.0,1.0,5201.0,2/5/2021,2.0,518
